time(s),rem_pkt,rem_bytes,q_pkt,q_bytes,q_ms, lost, est-bw(kbps),txed(kbps),rxed(kbps),topo(kbps), corr,vbw,obw, wnd_qdelay,wnd_mrange,qdelay,vqdelay,xqdelay,ma(XQ),target,qdFract,brFract,xqFract,incr(ms),status,evt,target(kbps)
0.366933,8,3334,13,10131,270,0,320,416,320,300,0.0,355,355,0,0,0,0,0.0,0.0,50,0,0.769024,0.0,0,0,0,150
0.466827,9,3611,12,9851,262,0,296,446,96,300,1.0,329,329,0,118,118,4,94.0,94.0,50,2.36,0.482343,1.88,0,0,0,150
0.566933,8,4150,11,10403,277,0,274,104,85,300,0.937021,305,305,0,142,142,62,60.0,90.6,50,2.84,0.5188,1.2,0,0,0,150
0.666827,10,5653,10,9992,266,0,250,57,29,300,nan,277,277,0,202,202,109,73.0,88.84,50,4.04,0.518527,1.46,0,0,0,150
0.866827,14,7391,11,10028,267,0,229,118,54,300,nan,255,255,0,219,219,1,198.0,99.756,50,4.38,0.512449,3.96,0,0,0,150
0.966827,16,6700,10,9627,256,0,208,212,16,300,nan,231,231,0,219,181,99,62.0,95.9804,50,3.62,0.376884,1.24,0,0,0,150
1.06683,18,8660,11,10657,284,0,192,135,53,300,nan,213,213,0,219,209,187,2.0,86.5824,50,4.18,0.293507,0.04,512,3,3,150
1.16683,21,9890,10,9825,262,0,192,125,63,300,nan,213,213,0,219,209,134,55.0,83.4241,50,4.18,0.316444,1.1,612,3,3,150
1.26683,22,8361,12,10248,273,0,192,174,120,300,1.0,213,213,0,219,199,109,70.0,82.0817,50,3.98,0.390301,1.4,716,3,3,150
1.56704,25,7963,11,10460,278,1,192,287,147,300,0.274973,213,213,0,219,187,0,187.0,92.5735,50,3.74,0.578829,3.74,1023,3,3,150
1.76683,29,7343,12,10730,286,0,192,206,66,300,nan,213,213,0,219,217,49,148.0,98.1162,50,4.34,0.433296,2.96,1204,3,3,150
1.86683,30,7338,11,10274,273,0,192,170,100,300,1.0,213,213,0,219,206,144,42.0,92.5046,50,4.12,0.474033,0.84,1304,3,3,150
1.96693,30,7228,11,9842,262,1,192,187,107,300,1.0,213,213,0,219,199,146,33.0,86.5541,50,3.98,0.495676,0.66,1422,3,3,150
2.06683,32,7638,11,9986,266,0,192,171,56,300,nan,213,213,0,219,212,164,28.0,80.6987,50,4.24,0.45062,0.56,1509,3,3,150
2.16683,34,7674,11,9363,249,0,192,112,54,300,nan,213,213,0,219,208,103,85.0,81.1288,50,4.16,0.49732,1.7,1613,3,3,150
2.26683,34,6961,11,9739,259,0,192,170,115,300,1.0,213,213,0,219,217,183,14.0,74.4159,50,4.34,0.535573,0.28,1696,3,3,150
2.36683,35,7530,12,9943,265,0,192,178,117,300,1.0,213,213,0,219,209,197,-8.0,0.0,50,4.18,0.550893,0.0,1802,3,3,150
