time(s),rem_pkt,rem_bytes,q_pkt,q_bytes,q_ms, lost, est-bw(kbps),txed(kbps),rxed(kbps),topo(kbps), corr,vbw,obw, wnd_qdelay,wnd_mrange,qdelay,vqdelay,xqdelay,ma(XQ),target,qdFract,brFract,xqFract,incr(ms),status,evt,target(kbps)
0.304907,3,1140,0,0,0,0,474,342,474,1000,0.0,527,527,0,0,0,0,0.0,0.0,50,0,1.38658,0.0,0,0,0,150
0.404843,2,623,0,0,0,0,474,63,91,1000,0.0,527,527,0,0,0,0,0.0,0.0,50,0,1.39511,0.0,0,0,0,151
0.504811,3,1970,0,0,0,0,474,49,49,1000,1.0,527,527,0,2,2,0,-3.0,0.0,50,0.04,1.35185,0.0,0,0,0,152
0.604843,3,2012,0,0,0,0,441,157,157,1000,0.5,490,490,0,4,4,0,-9.0,0.0,50,0.08,1.26136,0.0,0,0,0,153
0.704843,2,1508,0,0,0,0,411,160,160,1000,0.0,457,457,0,4,0,0,0.0,0.0,50,0,1.06468,0.0,0,0,0,153
0.804811,3,2313,0,0,0,0,411,120,120,1000,1.0,457,457,0,4,4,0,-10.0,0.0,50,0.08,1.05055,0.0,0,0,0,154
0.904843,2,1547,0,0,0,0,386,185,185,1000,0.866025,429,429,0,6,6,0,-7.0,0.0,50,0.12,1,0.0,0,0,0,155
1.00481,3,2482,0,0,0,0,386,123,123,1000,1.0,429,429,0,6,5,0,-7.0,0.0,50,0.1,1,0.0,0,0,0,156
1.10484,3,2753,0,0,0,0,366,198,198,1000,0.981981,406,406,0,6,5,0,-14.0,0.0,50,0.1,1,0.0,0,0,0,156
1.20484,5,2744,0,0,0,0,349,220,220,1000,0.970725,388,388,0,7,7,0,-13.0,0.0,50,0.14,1,0.0,0,0,0,157
1.30487,2,1509,0,0,0,0,334,219,219,1000,0.0,371,371,0,7,0,0,0.0,0.0,50,0,1,0.0,0,0,0,158
1.40481,4,2834,0,0,0,0,334,120,120,1000,1.0,371,371,0,7,6,0,-11.0,0.0,50,0.12,1,0.0,0,0,0,159
1.50484,2,1332,0,0,0,0,321,226,226,1000,0.0,356,356,0,7,0,0,0.0,0.0,50,0,1,0.0,0,0,0,160
1.60481,4,3204,0,0,0,0,321,106,106,1000,1.0,356,356,0,7,3,1,-18.0,0.0,50,0.06,1,0.0,0,0,0,160
1.70484,3,2297,0,0,0,0,307,199,199,1000,1.0,341,341,0,7,5,0,-9.0,0.0,50,0.1,1,0.0,0,0,0,161
1.80484,2,1513,0,0,0,0,292,183,183,1000,0.662849,325,325,0,7,6,0,-14.0,0.0,50,0.12,1,0.0,0,0,0,162
1.90481,3,2226,0,0,0,0,292,121,121,1000,nan,325,325,0,7,6,0,-12.0,0.0,50,0.12,1,0.0,0,0,0,163
2.00484,3,2746,0,0,0,0,279,178,178,1000,nan,310,310,0,7,6,0,-11.0,0.0,50,0.12,1,0.0,0,0,0,164
2.10484,3,1793,0,0,0,0,271,219,219,1000,0.866025,301,301,0,7,6,6,-20.0,0.0,50,0.12,1,0.0,500,0,0,164
2.20484,3,2189,0,0,0,0,271,143,143,1000,1.0,401,301,0,7,1,0,-15.0,0.0,50,0.02,1,0.0,601,0,0,165
2.30481,3,1270,0,0,0,0,255,175,126,1000,1.0,284,284,0,7,7,5,-18.0,0.0,50,0.14,0.941435,0.0,701,0,0,166
2.40484,4,2792,0,0,0,0,255,52,101,1000,0.891042,284,284,0,7,2,0,-11.0,0.0,50,0.04,1,0.0,804,0,0,167
2.50484,3,1504,0,0,0,0,250,223,223,1000,0.770584,377,277,0,7,1,1,-20.0,0.0,50,0.02,1,0.0,0,0,0,168
2.60484,3,2563,0,0,0,0,250,120,120,1000,0.0,277,277,0,7,0,0,0.0,0.0,50,0,1,0.0,0,0,0,169
2.70484,3,2126,0,0,0,0,243,205,205,1000,0.609994,270,270,0,7,6,5,-19.0,0.0,50,0.12,1,0.0,0,0,0,169
2.80484,3,2291,0,0,0,0,234,170,170,1000,0.978319,260,260,0,7,2,0,-17.0,0.0,50,0.04,1,0.0,0,0,0,170
2.90481,3,2313,0,0,0,0,221,183,116,1000,nan,246,246,0,7,6,4,-18.0,0.0,50,0.12,0.90099,0.0,0,0,0,171
3.00484,2,1571,0,0,0,0,216,117,185,1000,0.940634,240,240,0,7,6,6,-20.0,0.0,50,0.12,1,0.0,0,0,0,172
3.10481,3,2083,0,0,0,0,216,125,125,1000,1.0,340,240,0,7,5,1,-16.0,0.0,50,0.1,1,0.0,0,0,0,173
3.20484,3,1994,0,0,0,0,216,166,166,1000,0.985329,240,240,0,7,4,0,-12.0,0.0,50,0.08,1,0.0,509,0,0,174
3.30484,3,1962,0,0,0,0,216,159,159,1000,0.768958,240,240,0,7,2,0,-17.0,0.0,50,0.04,1.11796,0.0,611,0,0,175
3.40484,3,2598,0,0,0,0,216,156,156,1000,0.654654,240,240,0,7,5,0,-15.0,0.0,50,0.1,1.09248,0.0,705,0,0,175
3.50481,4,2761,0,0,0,0,216,141,141,1000,1.0,340,240,0,7,6,3,-17.0,0.0,50,0.12,1,0.0,805,0,0,176
3.60484,2,1730,0,0,0,0,214,220,220,1000,0.757638,338,238,0,7,4,1,-17.0,0.0,50,0.08,1,0.0,906,0,0,177
3.70481,2,1789,0,0,0,0,205,212,138,1000,1.0,228,228,0,7,7,7,-20.0,0.0,50,0.14,0.916816,0.0,1004,0,0,178
3.80481,4,3069,0,0,0,0,205,143,143,1000,1.0,328,228,0,7,7,2,-15.0,0.0,50,0.14,0.915257,0.0,1104,0,0,179
3.90484,3,2836,0,0,0,0,200,245,175,1000,0.628619,222,222,0,7,7,2,-15.0,0.0,50,0.14,0.82464,0.0,1206,0,0,180
4.00484,4,2362,0,0,0,0,200,226,226,1000,0.970725,323,223,0,12,12,4,-12.0,0.0,50,0.24,0.862569,0.0,1301,0,0,181
4.10484,3,2501,0,0,0,0,197,188,188,1000,0.90783,419,219,0,12,1,0,-16.0,0.0,50,0.02,0.858255,0.0,0,0,0,182
4.20481,4,2977,0,0,0,0,197,128,128,1000,1.0,319,219,0,12,7,3,-16.0,0.0,50,0.14,0.911428,0.0,0,0,0,183
4.30484,7,4060,0,0,0,0,192,238,158,1000,0.996741,213,213,0,12,7,0,-12.0,0.0,50,0.14,0.854154,0.0,0,0,0,184
4.40491,2,1968,0,0,0,0,202,244,324,1000,0.805556,424,224,0,12,1,0,-16.0,0.0,50,0.02,1,0.0,0,2,2,402
4.50481,4,2894,0,0,0,0,202,157,157,1000,nan,324,224,0,12,8,4,-16.0,0.0,50,0.16,1,0.0,0,2,0,402
4.60484,8,7061,2,1412,11,0,202,151,151,1000,0.970725,224,224,0,12,2,0,-12.0,0.0,50,0.04,1,0.0,0,2,0,402
4.70491,6,5177,0,0,0,0,225,484,484,1000,0.92632,550,250,0,12,8,4,-16.0,0.0,50,0.16,1,0.0,0,2,0,402
4.80487,6,4559,0,0,0,0,240,414,414,1000,0.940822,467,267,0,12,5,1,-16.0,0.0,50,0.1,1.05507,0.0,0,2,0,402
4.90487,8,7275,0,0,0,0,242,364,284,1000,0.827592,368,268,0,12,5,0,-13.0,0.0,50,0.1,0.949133,0.0,0,2,0,402
5.00491,7,5274,0,0,0,0,270,582,582,1000,0.871642,600,300,0,12,8,0,-5.0,0.0,50,0.16,0.959945,0.0,0,2,0,402
5.10487,6,4916,0,0,0,0,270,341,341,1000,0.481003,400,300,0,12,4,0,-12.0,0.0,50,0.08,0.953019,0.0,0,2,0,402
5.20487,8,6502,0,0,0,0,271,393,313,1000,0.759749,401,301,0,12,3,0,-9.0,0.0,50,0.06,0.904871,0.0,509,0,5,271
5.30491,6,4909,0,0,0,0,283,360,440,1000,0.749149,515,315,0,12,2,0,-9.0,0.0,50,0.04,1,0.0,0,2,2,483
5.40487,6,4916,1,1030,8,0,283,392,392,1000,0.965553,415,315,0,12,3,0,-16.0,0.0,50,0.06,1,0.0,0,2,0,483
5.50487,7,5586,0,0,0,0,283,374,374,1000,0.163517,415,315,0,12,8,5,-17.0,0.0,50,0.16,1,0.0,0,2,0,483
5.60491,4,3717,1,1030,8,0,283,428,446,1000,0.601702,415,315,0,12,5,1,-16.0,0.0,50,0.1,1.00952,0.0,0,2,0,483
5.70484,10,8815,0,0,0,0,283,297,297,1000,0.950654,415,315,0,12,6,0,-8.0,0.0,50,0.12,1.01243,0.0,0,2,0,483
5.80491,10,8000,1,1030,8,0,306,625,564,1000,0.581437,640,340,0,12,5,0,-14.0,0.0,50,0.1,0.979952,0.0,0,2,0,483
5.90494,8,6768,0,0,0,0,326,480,560,1000,0.637797,562,362,0,12,9,5,-16.0,0.0,50,0.18,1.01701,0.0,500,0,5,326
6.00491,7,5952,0,0,0,0,338,495,495,1000,0.40109,575,375,0,12,8,0,-5.0,0.0,50,0.16,1.01612,0.0,598,2,2,538
6.10487,8,6441,1,1030,8,0,338,396,396,1000,0.610396,475,375,0,12,4,0,-12.0,0.0,50,0.08,1.00826,0.0,700,0,5,338
6.20491,7,5995,0,0,0,0,350,515,515,1000,0.569864,589,389,0,12,3,0,-9.0,0.0,50,0.06,1.04239,0.0,0,2,2,550
6.30487,8,6220,0,0,0,0,350,399,399,1000,0.441264,489,389,0,12,2,0,-14.0,0.0,50,0.04,1,0.0,0,2,0,550
